"序号","文件名（含路径）","行号","行起始位置","行结束位置","关键字","翻译"
"18","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","21","19","23","更新失败","Update failed"
"19","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","22","11","13","全部","all"
"20","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","23","17","21","接口异常","Abnormal interface"
"21","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","24","12","14","查看","To view"
"22","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","25","13","14","无","There is no"
"23","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","26","15","19","操作成功","Operation is successful"
"24","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","27","16","20","操作失败","The operation failure"
"25","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","28","16","18","编辑","The editor"
"26","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","29","15","17","删除","delete"
"27","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","30","15","17","非法","illegal"
"28","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","31","17","20","不存在","There is no"
"29","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","32","11","13","导航","navigation"
"30","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","35","35","40","最近一小时","Last hour"
"31","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","36","29","31","今日","Today,"
"32","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","37","33","35","昨日","Yesterday,"
"33","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","38","34","36","本月","This month,"
"34","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","39","34","37","上个月","Last month,"
"35","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","40","35","39","最近一周","In the latest week"
"36","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","41","36","40","最近一月","In recent month"
"37","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","42","28","31","自定义","The custom"
"38","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","43","33","37","起始时间","Starting time"
"39","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","44","31","35","结束时间","The end of time"
"40","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","45","34","35","日","day"
"41","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","45","36","37","一","a"
"42","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","45","38","39","二","The second"
"43","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","45","40","41","三","three"
"44","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","45","42","43","四","four"
"45","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","45","44","45","五","five"
"46","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","45","46","47","六","six"
"47","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","34","36","一月","In January,"
"48","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","37","39","二月","In February,"
"49","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","40","42","三月","In march,"
"50","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","43","45","四月","April"
"51","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","46","48","五月","In may"
"52","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","49","51","六月","In June"
"53","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","52","54","七月","The month of July"
"54","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","55","57","八月","In August,"
"55","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","58","60","九月","September"
"56","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","61","63","十月","October"
"57","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","64","67","十一月","In November,"
"58","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","46","68","71","十二月","December"
"59","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","49","22","25","处理中","In the processing"
"60","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","50","22","24","每页","Each page"
"61","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","50","32","35","条记录","records"
"62","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","51","23","29","没有匹配结果","No matching results"
"63","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","52","16","17","第","The first"
"64","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","52","25","26","页","page"
"65","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","52","29","31","总共","In total,"
"66","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","52","40","41","页","page"
"67","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","52","50","53","条记录","records"
"68","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","53","21","24","无记录","No record"
"69","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","54","25","26","由","by"
"70","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","54","33","38","项结果过滤","Results filtering"
"71","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","55","18","20","搜索","search"
"72","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","56","22","28","表中数据为空","The data in the table is empty."
"73","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","57","26","29","载入中","In the load"
"74","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","58","17","19","首页","Home page"
"75","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","59","20","22","上页","On the page"
"76","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","60","16","18","下页","On the next page"
"77","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","61","16","18","末页","At the end of the page"
"78","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","62","27","34","以升序排列此列","Arrange this column in ascending order."
"79","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","63","28","35","以降序排列此列","Rank this column in descending order."
"80","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","66","10","12","登录","The login"
"81","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","67","18","22","记住密码","Remember the password"
"82","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","68","27","34","请输入登录账号","Please enter your login account."
"83","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","69","27","34","请输入登录密码","Please enter your login password."
"84","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","70","21","28","请输入登录账号","Please enter your login account."
"85","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","71","20","28","登录账号不应低于","Login account should not be lower than."
"86","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","71","29","30","位","position"
"87","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","72","21","28","请输入登录密码","Please enter your login password."
"88","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","73","20","28","登录密码不应低于","The login password should not be lower than."
"89","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","73","29","30","位","position"
"90","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","74","14","18","登录成功","Login successful"
"91","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","75","11","15","登录失败","Login failed"
"92","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","76","18","25","账号或密码为空","The account or password is empty."
"93","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","77","20","27","账号或密码错误","Account or password error."
"94","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","80","11","13","注销","The cancellation"
"95","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","81","15","21","确认注销登录","Confirm logout"
"96","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","82","15","19","注销成功","Cancellation of success"
"97","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","83","12","16","注销失败","Logout failed"
"98","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","86","19","23","运行报表","Run the report"
"99","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","87","22","26","任务数量","Number of tasks"
"100","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","88","26","37","调度中心运行的任务数量","The number of tasks that the dispatch center runs."
"101","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","89","26","30","调度次数","Number of scheduling"
"102","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","90","30","41","调度中心触发的调度次数","The number of dispatches triggered by the dispatch center."
"103","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","91","27","32","执行器数量","Number of actuators"
"104","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","92","31","45","调度中心在线的执行器机器数量","The number of actuator machines on the dispatch center line."
"105","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","93","21","25","调度报表","Scheduling report"
"106","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","94","35","45","调度报表数据加载异常","Scheduling report data loading exception."
"107","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","95","26","31","日期分布图","Date distribution map"
"108","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","96","26","31","成功比例图","Successful scale."
"109","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","99","13","17","任务管理","Task management"
"110","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","100","12","14","任务","task"
"111","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","101","18","22","新增任务","The new task"
"112","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","102","21","25","更新任务","The update task"
"113","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","103","17","19","任务","task"
"114","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","104","23","26","执行器","actuator"
"115","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","105","22","26","任务描述","Task description"
"116","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","106","23","27","运行模式","The operation mode"
"117","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","107","28","32","任务参数","The task parameters"
"118","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","108","31","35","格式非法","The format of illegal"
"119","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","109","21","24","负责人","head"
"120","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","110","25","29","报警邮件","Alarm mail"
"121","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","111","37","44","请输入报警邮件","Please enter the alarm email."
"122","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","111","45","56","多个邮件地址则逗号分隔","Multiple mail addresses are comma-separated."
"123","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","112","36","40","路由策略","Routing strategy"
"124","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","113","25","28","子任务","The subtasks"
"125","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","114","31","34","子任务","The subtasks"
"126","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","114","41","49","不可与父任务重复","Do not repeat the parent task."
"127","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","115","37","46","请输入子任务的任务","Please enter the task of the subtask."
"128","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","115","49","59","如存在多个则逗号分隔","If there are more than one comma separated."
"129","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","116","36","42","阻塞处理策略","Blocking strategy"
"130","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","117","35","41","失败处理策略","Failure processing strategy"
"131","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","118","24","28","脚本位置","Script location"
"132","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","119","20","24","分片序号","Shard serial number"
"133","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","120","20","24","分片总数","The total number of fragmentation"
"134","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","121","18","20","暂停","suspended"
"135","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","122","19","21","恢复","restore"
"136","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","123","16","18","日志","The log"
"137","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","124","16","18","执行","perform"
"138","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","125","20","24","源码备注","Source note"
"139","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","126","26","35","源码备注长度限制为","The source code note length is limited to."
"140","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","127","22","26","版本回溯","Version back"
"141","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","128","27","29","任务","task"
"142","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","128","31","33","非法","illegal"
"143","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","129","30","34","该任务非","This task is not"
"144","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","129","38","40","模式","model"
"145","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","132","12","16","调度日志","Operation log"
"146","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","133","14","16","状态","state"
"147","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","134","18","20","全部","all"
"148","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","135","18","20","成功","successful"
"149","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","136","19","21","失败","failure"
"150","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","137","22","25","进行中","ongoing"
"151","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","138","25","29","调度时间","Scheduling time"
"152","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","139","25","29","调度结果","Scheduling results"
"153","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","140","24","28","调度备注","Dispatch note"
"154","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","141","24","28","执行时间","The execution time"
"155","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","142","24","28","执行结果","The execution result"
"156","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","143","23","27","执行备注","Perform note"
"157","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","144","29","34","执行器地址","Actuator address"
"158","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","145","13","15","清理","Clean up the"
"159","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","146","17","21","日志清理","Log cleaning"
"160","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","147","18","22","清理方式","Clear the way"
"161","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","148","20","31","清理一个月之前日志数据","Clean up log data a month ago."
"162","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","149","20","31","清理三个月之前日志数据","Clean up log data three months ago."
"163","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","150","20","31","清理六个月之前日志数据","Clean up log data six months ago."
"164","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","151","20","30","清理一年之前日志数据","Clean up log data a year ago."
"165","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","152","20","31","清理一千条以前日志数据","Clean up a thousand previous log data."
"166","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","153","20","31","清理一万条以前日志数据","Clean up 10,000 previous log data."
"167","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","154","20","31","清理三万条以前日志数据","Clean up 30, 000 previous log data."
"168","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","155","20","31","清理十万条以前日志数据","Clean up 100,000 previous log data."
"169","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","156","20","28","清理所有日志数据","Clean up all log data."
"170","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","157","26","34","清理类型参数异常","Clean the type parameter exception."
"171","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","158","22","24","成功","successful"
"172","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","159","22","24","失败","failure"
"173","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","160","22","26","失败重试","Failure to retry"
"174","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","161","16","20","终止任务","Termination of the task"
"175","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","162","22","26","调度失败","Scheduling failure"
"176","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","162","27","33","无法终止日志","Unable to terminate log"
"177","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","163","22","30","人为操作主动终止","The human operation terminates voluntarily."
"178","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","164","19","23","执行日志","Perform log"
"179","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","165","27","29","刷新","The refresh"
"180","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","166","31","39","任务发起调度失败","The task initiated scheduling failed."
"181","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","166","40","48","无法查看执行日志","Unable to view the execution log."
"182","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","167","29","33","终止请求","Termination request"
"183","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","167","40","42","日志","The log"
"184","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","167","43","52","请求失败次数超上限","The number of failed requests exceeds the limit."
"185","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","167","53","64","可刷新页面重新加载日志","Reload the log on the refresh page."
"186","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","168","21","23","日志","The log"
"187","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","168","25","27","非法","illegal"
"188","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","171","14","19","执行器管理","Actuator management"
"189","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","172","14","19","执行器列表","Executor list"
"190","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","173","13","18","新增执行器","New executor"
"191","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","174","14","19","编辑执行器","Edit executor"
"192","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","175","13","18","删除执行器","Delete executor"
"193","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","176","21","23","排序","The sorting"
"194","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","177","21","23","名称","The name of the"
"195","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","178","27","31","注册方式","Registration way"
"196","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","179","29","33","自动注册","Automatic registration"
"197","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","180","29","33","手动录入","manually"
"198","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","181","33","41","手动录入注册方式","Manually enter the registration form."
"199","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","181","42","50","机器地址不可为空","The machine address must not be empty."
"200","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","182","28","32","机器地址","Address of the machine"
"201","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","183","36","44","机器地址格式非法","Machine address format is illegal."
"202","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","184","40","50","请输入执行器地址列表","Please enter the list of executor addresses."
"203","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","184","51","58","多地址逗号分隔","Multiple address commas are separated."
"204","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","185","29","38","限制以小写字母开头","Limit starts with a lowercase letter."
"205","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","185","39","44","由小写字母","lowercase"
"206","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","185","45","53","数字和中划线组成","A number and an underscore."
"207","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","186","37","42","长度限制为","Length limit to"
"208","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","187","28","35","名称长度限制为","The name length is limited to."
"209","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","188","28","33","请输入整数","Please enter an integer"
"210","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","189","26","31","取值范围为","The range is"
"211","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","190","21","25","拒绝删除","Refused to remove the"
"212","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","190","26","33","该执行器使用中","The actuator is in use."
"213","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","191","21","25","拒绝删除","Refused to remove the"
"214","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","191","27","38","系统至少保留一个执行器","The system retains at least one executor."
"215","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","194","19","23","失败告警","Failure alarm"
"216","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","195","19","23","失败重试","Failure to retry"
"217","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","196","20","23","第一个","The first one"
"218","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","197","19","23","最后一个","The last one"
"219","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","198","20","22","轮询","polling"
"220","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","199","21","23","随机","random"
"221","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","200","29","32","一致性","consistency"
